id,question,answer
79,lsp-medialive-conductor Conductor receives a message to switch an input?,"Given a switch input message with inputName ""LiveRTMP_cvid""
And MediaLive State API ""/channels"" ""GET"" endpoint returns HTTP ""200"" with
And Medialive State API gateway /inputs get endpoint exists and will respond with HTTP 200
And MediaLive State API ""/channels"" ""PUT"" endpoint returns HTTP ""200"" with
And Medialive State API gateway /slates get endpoint exists and will respond with HTTP 200
And MediaLive State API ""/livestreams"" ""GET"" endpoint returns HTTP ""200"" with
And Medialive describe channel endpoint exists and will respond with HTTP ""200""
And Medialive default dog schedule update endpoint for ""liveRTMP_cvid"" exists and will respond with HTTP ""200""
When the message arrives from the input queue
Then an ispy event 'lsp-medialive-conductor.switch-input.received' is emitted with the received attributes
Then an ispy event 'lsp-medialive-conductor.switch-input.channel-inputs.retrieved' is emitted with the received attributes
Then an ispy event 'lsp-medialive-conductor.switch-input.target-input.updated' is emitted
And a 'GET' request is sent to the Medialive '/prod/channels/3887246' endpoint
And an ispy event 'lsp-medialive-conductor.switch-input.input-attachment-name.retrieved' is emitted with the received attributes
And a 'PUT' request is sent to the Medialive '/prod/channels/3887246/schedule' endpoint
And an ispy event 'lsp-medialive-conductor.switch-input.processed' is emitted

"
80,lsp-medialive-conductor Conductor receives a message to switch an input to a slate?,"Given a switch input message with inputName ""slate_name""
And MediaLive State API ""/channels"" ""GET"" endpoint returns HTTP ""200"" with
And MediaLive State API ""/livestreams"" ""GET"" endpoint returns HTTP ""200"" with
And Medialive State API gateway /inputs get endpoint exists and will respond with HTTP 200
And MediaLive State API ""/channels"" ""PUT"" endpoint returns HTTP ""200"" with
And Medialive State API gateway /slates get endpoint exists and will respond with HTTP 200
And Medialive describe channel endpoint exists and will respond with HTTP ""200""
And Medialive slate input schedule update endpoint for ""slate_cvid"" exists and will respond with HTTP ""200""
When the message arrives from the input queue
Then an ispy event 'lsp-medialive-conductor.switch-input.received' is emitted with the received attributes
Then an ispy event 'lsp-medialive-conductor.switch-input.slate-input.retrieved' is emitted with the received attributes
And a 'PUT' to the '/channels' API gateway endpoint
Then an ispy event 'lsp-medialive-conductor.switch-input.target-input.updated' is emitted
And a 'GET' request is sent to the Medialive '/prod/channels/3887246' endpoint
And an ispy event 'lsp-medialive-conductor.switch-input.input-attachment-name.retrieved' is emitted with the received attributes
And a 'PUT' request is sent to the Medialive '/prod/channels/3887246/schedule' endpoint
And an ispy event 'lsp-medialive-conductor.switch-input.processed' is emitted

"
81,lsp-medialive-conductor Conductor receives a message to switch an input to a default end slate?,"Given a switch input message with inputName ""default-end""
And MediaLive State API ""/channels"" ""GET"" endpoint returns HTTP ""200"" with
And MediaLive State API ""/livestreams"" ""GET"" endpoint returns HTTP ""200"" with
And Medialive State API gateway /inputs get endpoint exists and will respond with HTTP 200
And MediaLive State API ""/channels"" ""PUT"" endpoint returns HTTP ""200"" with
And Medialive State API gateway /slates get endpoint exists and will respond with HTTP 200 for
And Medialive describe channel endpoint exists and will respond with HTTP ""200""
And Medialive slate input schedule update endpoint for ""slate_cvid"" exists and will respond with HTTP ""200""
When the message arrives from the input queue
Then an ispy event 'lsp-medialive-conductor.switch-input.received' is emitted with the received attributes
Then an ispy event 'lsp-medialive-conductor.switch-input.default-end-slate.retrieved' is emitted with the received attributes
And a 'PUT' to the '/channels' API gateway endpoint
Then an ispy event 'lsp-medialive-conductor.switch-input.target-input.updated' is emitted
And a 'GET' request is sent to the Medialive '/prod/channels/3887246' endpoint
And an ispy event 'lsp-medialive-conductor.switch-input.input-attachment-name.retrieved' is emitted with the received attributes
And a 'PUT' request is sent to the Medialive '/prod/channels/3887246/schedule' endpoint
And an ispy event 'lsp-medialive-conductor.switch-input.processed' is emitted

"
82,lsp-medialive-conductor Handle any 4xx error when BatchUpdateSchedule api call fails?,"Given a switch input message with inputName ""slate_name""
And MediaLive State API ""/channels"" ""GET"" endpoint returns HTTP ""200"" with
And MediaLive State API ""/livestreams"" ""GET"" endpoint returns HTTP ""200"" with
And Medialive State API gateway /inputs get endpoint exists and will respond with HTTP 200
And MediaLive State API ""/channels"" ""PUT"" endpoint returns HTTP ""200"" with
And Medialive State API gateway /slates get endpoint exists and will respond with HTTP 200
And Medialive describe channel endpoint exists and will respond with HTTP ""200""
And Medialive slate input schedule update endpoint for ""slate_cvid"" exists and will respond with HTTP ""400""
When the message arrives from the input queue
Then an ispy event 'lsp-medialive-conductor.switch-input.received' is emitted with the received attributes
Then an ispy event 'lsp-medialive-conductor.switch-input.slate-input.retrieved' is emitted with the received attributes
And a 'PUT' to the '/channels' API gateway endpoint
Then an ispy event 'lsp-medialive-conductor.switch-input.target-input.updated' is emitted
And a 'GET' request is sent to the Medialive '/prod/channels/3887246' endpoint
And an ispy event 'lsp-medialive-conductor.switch-input.input-attachment-name.retrieved' is emitted with the received attributes
And a 'PUT' request is sent to the Medialive '/prod/channels/3887246/schedule' endpoint
And an ispy event 'lsp-medialive-conductor.channel.schedule-creation-failed' is emitted
And a failure notification is sent to the encoding output topic with error class ""SCHEDULE_CREATION_FAILED_IN_MEDIALIVE"" and statement ""switchInputFailed""
And an ispy event 'lsp-medialive-conductor.channel.schedule-creation-failed.notification' is emitted with the received attributes
And the message is sent to the fail queue

"
83,lsp-medialive-conductor Handle any type of channel stop 4xx response from Medialive.?,"We're expecting no retries and msg in fail q. Customer is sent notification
Given a switch input message with inputName ""LiveRTMP_cvid""
And MediaLive State API ""/channels"" ""GET"" endpoint returns HTTP ""200"" with
And MediaLive State API ""/livestreams"" ""GET"" endpoint returns HTTP ""200"" with
And Medialive State API gateway /inputs get endpoint exists and will respond with HTTP 200
And MediaLive State API ""/channels"" ""PUT"" endpoint returns HTTP ""200"" with
And Medialive describe channel endpoint exists and will respond with HTTP ""400""
When the message arrives from the input queue
Then an ispy event 'lsp-medialive-conductor.switch-input.received' is emitted with the received attributes
Then an ispy event 'lsp-medialive-conductor.switch-input.channel-inputs.retrieved' is emitted with the received attributes
And a 'PUT' to the '/channels' API gateway endpoint
Then an ispy event 'lsp-medialive-conductor.switch-input.target-input.updated' is emitted
And a 'GET' request is sent to the Medialive '/prod/channels/3887246' endpoint
And an ispy event 'lsp-medialive-conductor.channel.describe-channel-failed' is emitted with the received attributes
And a failure notification is sent to the encoding output topic with error class ""SCHEDULE_CREATION_FAILED_IN_MEDIALIVE"" and statement ""switchInputFailed""
And an ispy event 'lsp-medialive-conductor.channel.describe-channel-failed.notification' is emitted with the received attributes
And the message is sent to the fail queue

"
84,lsp-medialive-conductor Handle any type of channel stop 5xx response from Medialive?,"Given a switch input message with inputName ""LiveRTMP_cvid""
And MediaLive State API ""/channels"" ""GET"" endpoint returns HTTP ""200"" with
And MediaLive State API ""/livestreams"" ""GET"" endpoint returns HTTP ""200"" with
And Medialive State API gateway /inputs get endpoint exists and will respond with HTTP 200
And MediaLive State API ""/channels"" ""PUT"" endpoint returns HTTP ""200"" with
And Medialive describe channel endpoint exists and will respond with HTTP ""500""
When the message arrives from the input queue
Then an ispy event 'lsp-medialive-conductor.switch-input.received' is emitted with the received attributes
Then an ispy event 'lsp-medialive-conductor.switch-input.channel-inputs.retrieved' is emitted with the received attributes
And a 'PUT' to the '/channels' API gateway endpoint
Then an ispy event 'lsp-medialive-conductor.switch-input.target-input.updated' is emitted
And a 'GET' request is sent to the Medialive '/prod/channels/3887246' endpoint
And an ispy event 'lsp-medialive-conductor.channel.describe-channel-failed' is emitted with the received attributes
And a failure notification is sent to the encoding output topic with error class ""SCHEDULE_CREATION_FAILED_IN_MEDIALIVE"" and statement ""switchInputFailed""
And an ispy event 'lsp-medialive-conductor.channel.describe-channel-failed.notification' is emitted with the received attributes

"
85,lsp-medialive-conductor Handle any type of channel stop 4xx response from Medialive.?,"We're expecting no retries and msg in fail q. Customer is sent notification
Given a switch input message with inputName ""slate_name""
And MediaLive State API ""/channels"" ""GET"" endpoint returns HTTP ""200"" with
And MediaLive State API ""/livestreams"" ""GET"" endpoint returns HTTP ""200"" with
And Medialive State API gateway /inputs get endpoint exists and will respond with HTTP 200
And MediaLive State API ""/channels"" ""PUT"" endpoint returns HTTP ""200"" with
And Medialive State API gateway /slates get endpoint exists and will respond with HTTP 200
And Medialive describe channel endpoint exists and will respond with HTTP ""400""
When the message arrives from the input queue
Then an ispy event 'lsp-medialive-conductor.switch-input.received' is emitted with the received attributes
Then an ispy event 'lsp-medialive-conductor.switch-input.slate-input.retrieved' is emitted with the received attributes
And a 'PUT' to the '/channels' API gateway endpoint
Then an ispy event 'lsp-medialive-conductor.switch-input.target-input.updated' is emitted
And a 'GET' request is sent to the Medialive '/prod/channels/3887246' endpoint
And an ispy event 'lsp-medialive-conductor.channel.describe-channel-failed' is emitted with the received attributes
And a failure notification is sent to the encoding output topic with error class ""SCHEDULE_CREATION_FAILED_IN_MEDIALIVE"" and statement ""switchInputFailed""
And an ispy event 'lsp-medialive-conductor.channel.describe-channel-failed.notification' is emitted with the received attributes
And the message is sent to the fail queue

"
86,lsp-medialive-conductor Handle any type of channel stop 5xx response from Medialive for the first time.?,"We're expecting retry to happen later. No notification to customer
Given a switch input message with inputName ""slate_name""
And MediaLive State API ""/channels"" ""GET"" endpoint returns HTTP ""200"" with
And MediaLive State API ""/livestreams"" ""GET"" endpoint returns HTTP ""200"" with
And Medialive State API gateway /inputs get endpoint exists and will respond with HTTP 200
And MediaLive State API ""/channels"" ""PUT"" endpoint returns HTTP ""200"" with
And Medialive State API gateway /slates get endpoint exists and will respond with HTTP 200
And Medialive describe channel endpoint exists and will respond with HTTP ""500""
When the message arrives from the input queue
Then an ispy event 'lsp-medialive-conductor.switch-input.received' is emitted with the received attributes
Then an ispy event 'lsp-medialive-conductor.switch-input.slate-input.retrieved' is emitted with the received attributes
And a 'PUT' to the '/channels' API gateway endpoint
Then an ispy event 'lsp-medialive-conductor.switch-input.target-input.updated' is emitted
And a 'GET' request is sent to the Medialive '/prod/channels/3887246' endpoint
And an ispy event 'lsp-medialive-conductor.channel.describe-channel-failed' is emitted with the received attributes

"
87,lsp-medialive-conductor Handle any 5xx error when BatchUpdateSchedule api call fails?,"Given a switch input message with inputName ""slate_name""
And MediaLive State API ""/channels"" ""GET"" endpoint returns HTTP ""200"" with
And MediaLive State API ""/livestreams"" ""GET"" endpoint returns HTTP ""200"" with
And Medialive State API gateway /inputs get endpoint exists and will respond with HTTP 200
And MediaLive State API ""/channels"" ""PUT"" endpoint returns HTTP ""200"" with
And Medialive State API gateway /slates get endpoint exists and will respond with HTTP 200
And Medialive describe channel endpoint exists and will respond with HTTP ""200""
And Medialive slate input schedule update endpoint for ""slate_cvid"" exists and will respond with HTTP ""500""
When the message arrives from the input queue
Then an ispy event 'lsp-medialive-conductor.switch-input.received' is emitted with the received attributes
Then an ispy event 'lsp-medialive-conductor.switch-input.slate-input.retrieved' is emitted with the received attributes
And a 'PUT' to the '/channels' API gateway endpoint
Then an ispy event 'lsp-medialive-conductor.switch-input.target-input.updated' is emitted
And a 'GET' request is sent to the Medialive '/prod/channels/3887246' endpoint
And an ispy event 'lsp-medialive-conductor.switch-input.input-attachment-name.retrieved' is emitted with the received attributes
And a 'PUT' request is sent to the Medialive '/prod/channels/3887246/schedule' endpoint
And an ispy event 'lsp-medialive-conductor.channel.schedule-creation-failed' is emitted with the received attributes
And a failure notification is sent to the encoding output topic with error class ""SCHEDULE_CREATION_FAILED_IN_MEDIALIVE"" and statement ""switchInputFailed""
And an ispy event 'lsp-medialive-conductor.channel.schedule-creation-failed.notification' is emitted with the received attributes

"
88,lsp-medialive-conductor Handle any type of channel stop 5xx response from Medialive?,"AWS will put the original msq DLQ. Notification sent to customer
Given a switch input message with inputName ""slate_name""
And MediaLive State API ""/channels"" ""GET"" endpoint returns HTTP ""200"" with
And MediaLive State API ""/livestreams"" ""GET"" endpoint returns HTTP ""200"" with
And Medialive State API gateway /inputs get endpoint exists and will respond with HTTP 200
And MediaLive State API ""/channels"" ""PUT"" endpoint returns HTTP ""200"" with
And Medialive State API gateway /slates get endpoint exists and will respond with HTTP 200
And Medialive describe channel endpoint exists and will respond with HTTP ""500""
When the message arrives from the input queue
Then an ispy event 'lsp-medialive-conductor.switch-input.received' is emitted with the received attributes
Then an ispy event 'lsp-medialive-conductor.switch-input.slate-input.retrieved' is emitted with the received attributes
And a 'PUT' to the '/channels' API gateway endpoint
Then an ispy event 'lsp-medialive-conductor.switch-input.target-input.updated' is emitted
And a 'GET' request is sent to the Medialive '/prod/channels/3887246' endpoint
And an ispy event 'lsp-medialive-conductor.channel.describe-channel-failed' is emitted with the received attributes
And a failure notification is sent to the encoding output topic with error class ""SCHEDULE_CREATION_FAILED_IN_MEDIALIVE"" and statement ""switchInputFailed""
And an ispy event 'lsp-medialive-conductor.channel.describe-channel-failed.notification' is emitted with the received attributes


"
89,lsp-medialive-conductor Conductor sends a message to the encoding output topic when getting 4xx on getting channel?,"Given a switch input message with inputName ""slate_name""
And MediaLive State API ""/channels"" ""GET"" endpoint returns HTTP ""400"" with
And MediaLive State API ""/livestreams"" ""GET"" endpoint returns HTTP ""200"" with
When the message arrives from the input queue
Then an ispy event 'lsp-medialive-conductor.switch-input.received' is emitted with the received attributes
And an ispy event 'lsp-medialive-conductor.channel-retrieve-failed' is emitted with the received attributes
And a failure notification is sent to the encoding output topic with error class ""RETRIEVE_CHANNEL_FAILED"" and statement ""switchInputFailed""
And an ispy event 'lsp-medialive-conductor.channel-retrieve-failed.notification' is emitted with the received attributes
And the message is sent to the fail queue

"
90,lsp-medialive-conductor Conductor sends a message to the encoding output topic when getting 5xx on getting channel?,"Given a switch input message with inputName ""slate_name""
And MediaLive State API ""/channels"" ""GET"" endpoint returns HTTP ""500"" with
And MediaLive State API ""/livestreams"" ""GET"" endpoint returns HTTP ""200"" with
When the message arrives from the input queue
Then an ispy event 'lsp-medialive-conductor.switch-input.received' is emitted with the received attributes
And an ispy event 'lsp-medialive-conductor.channel-retrieve-failed' is emitted with the received attributes
And a failure notification is sent to the encoding output topic with error class ""RETRIEVE_CHANNEL_FAILED"" and statement ""switchInputFailed""
And an ispy event 'lsp-medialive-conductor.channel-retrieve-failed.notification' is emitted with the received attributes

"
91,lsp-medialive-conductor Conductor sends a message to the encoding output topic when no channel returned?,"Given a switch input message with inputName ""slate_name""
And MediaLive State API ""/channels"" ""GET"" endpoint returns empty HTTP ""200""
When the message arrives from the input queue
Then an ispy event 'lsp-medialive-conductor.switch-input.received' is emitted with the received attributes
And an ispy event 'lsp-medialive-conductor.channel-record-notfound' is emitted with the received attributes
And a failure notification is sent to the encoding output topic with error class ""RETRIEVE_CHANNEL_FAILED"" and statement ""switchInputFailed""
And an ispy event 'lsp-medialive-conductor.channel-record-notfound.notification' is emitted with the received attributes
And the message is sent to the fail queue

"
92,lsp-medialive-conductor SwitchInput but GET Input returns empty?,"Given a switch input message with inputName ""slate_name""
And MediaLive State API ""/channels"" ""GET"" endpoint returns HTTP ""200"" with
And MediaLive State API ""/livestreams"" ""GET"" endpoint returns HTTP ""200"" with
And Medialive State API gateway /inputs get endpoint exists and will respond with HTTP 404
When the message arrives from the input queue
Then an ispy event 'lsp-medialive-conductor.switch-input.received' is emitted with the received attributes
And an ispy event 'lsp-medialive-conductor.inputs-record-notfound' is emitted with the received attributes
And a failure notification is sent to the encoding output topic with error class ""RETRIEVE_INPUT_FAILED"" and statement ""switchInputFailed""
And an ispy event 'lsp-medialive-conductor.inputs-record-notfound.notification' is emitted with the received attributes
And the message is sent to the fail queue

"
93,lsp-medialive-conductor SwitchInput but GET Input fails with 4xx?,"Given a switch input message with inputName ""slate_name""
And MediaLive State API ""/channels"" ""GET"" endpoint returns HTTP ""200"" with
And MediaLive State API ""/livestreams"" ""GET"" endpoint returns HTTP ""200"" with
And Medialive State API gateway /inputs get endpoint exists and will respond with HTTP 400
When the message arrives from the input queue
Then an ispy event 'lsp-medialive-conductor.switch-input.received' is emitted with the received attributes
And an ispy event 'lsp-medialive-conductor.inputs-retrieve-failed' is emitted with the received attributes
And a failure notification is sent to the encoding output topic with error class ""RETRIEVE_INPUT_FAILED"" and statement ""switchInputFailed""
And an ispy event 'lsp-medialive-conductor.inputs-retrieve-failed.notification' is emitted with the received attributes
And the message is sent to the fail queue

"
94,lsp-medialive-conductor SwitchInput but GET Input fails with 5xx?,"Given a switch input message with inputName ""slate_name""
And MediaLive State API ""/channels"" ""GET"" endpoint returns HTTP ""200"" with
And MediaLive State API ""/livestreams"" ""GET"" endpoint returns HTTP ""200"" with
And Medialive State API gateway /inputs get endpoint exists and will respond with HTTP 500
When the message arrives from the input queue
Then an ispy event 'lsp-medialive-conductor.switch-input.received' is emitted with the received attributes
And an ispy event 'lsp-medialive-conductor.inputs-retrieve-failed' is emitted with the received attributes
And a failure notification is sent to the encoding output topic with error class ""RETRIEVE_INPUT_FAILED"" and statement ""switchInputFailed""
And an ispy event 'lsp-medialive-conductor.inputs-retrieve-failed.notification' is emitted with the received attributes

"
95,lsp-medialive-conductor SwitchInput but GET Slate fails with 4xx?,"Given a switch input message with inputName ""slate_name""
And MediaLive State API ""/channels"" ""GET"" endpoint returns HTTP ""200"" with
And MediaLive State API ""/livestreams"" ""GET"" endpoint returns HTTP ""200"" with
And Medialive State API gateway /inputs get endpoint exists and will respond with HTTP 200
And MediaLive State API ""/channels"" ""PUT"" endpoint returns HTTP ""200"" with
And Medialive State API gateway /slates get endpoint exists and will respond with HTTP 400
When the message arrives from the input queue
Then an ispy event 'lsp-medialive-conductor.switch-input.received' is emitted with the received attributes
And an ispy event 'lsp-medialive-conductor.slate-retrieve-failed' is emitted with the received attributes
And a failure notification is sent to the encoding output topic with error class ""RETRIEVE_SLATE_FAILED"" and statement ""switchInputFailed""
And an ispy event 'lsp-medialive-conductor.slate-retrieve-failed.notification' is emitted with the received attributes
And the message is sent to the fail queue

"
96,lsp-medialive-conductor SwitchInput but GET Slate fails with 5xx?,"Given a switch input message with inputName ""slate_name""
And MediaLive State API ""/channels"" ""GET"" endpoint returns HTTP ""200"" with
And MediaLive State API ""/livestreams"" ""GET"" endpoint returns HTTP ""200"" with
And Medialive State API gateway /inputs get endpoint exists and will respond with HTTP 200
And MediaLive State API ""/channels"" ""PUT"" endpoint returns HTTP ""200"" with
And Medialive State API gateway /slates get endpoint exists and will respond with HTTP 500
When the message arrives from the input queue
Then an ispy event 'lsp-medialive-conductor.switch-input.received' is emitted with the received attributes
And an ispy event 'lsp-medialive-conductor.slate-retrieve-failed' is emitted with the received attributes
And a failure notification is sent to the encoding output topic with error class ""RETRIEVE_SLATE_FAILED"" and statement ""switchInputFailed""
And an ispy event 'lsp-medialive-conductor.slate-retrieve-failed.notification' is emitted with the received attributes

"
97,lsp-medialive-conductor SwitchInput but GET Slate returns no slate?,"Given a switch input message with inputName ""slate_name""
And MediaLive State API ""/channels"" ""GET"" endpoint returns HTTP ""200"" with
And MediaLive State API ""/livestreams"" ""GET"" endpoint returns HTTP ""200"" with
And Medialive State API gateway /inputs get endpoint exists and will respond with HTTP 200
And MediaLive State API ""/channels"" ""PUT"" endpoint returns HTTP ""200"" with
And MediaLive State API ""/slates"" ""GET"" endpoint returns empty HTTP ""200""
When the message arrives from the input queue
Then an ispy event 'lsp-medialive-conductor.switch-input.received' is emitted with the received attributes
And an ispy event 'lsp-medialive-conductor.slate-record-notfound' is emitted with the received attributes
And a failure notification is sent to the encoding output topic with error class ""RETRIEVE_SLATE_FAILED"" and statement ""switchInputFailed""
And an ispy event 'lsp-medialive-conductor.slate-record-notfound.notification' is emitted with the received attributes

"
98,lsp-medialive-conductor SwitchInput but PUT channel fails with 4xx?,"Given a switch input message with inputName ""slate_name""
And MediaLive State API ""/channels"" ""GET"" endpoint returns HTTP ""200"" with
And MediaLive State API ""/livestreams"" ""GET"" endpoint returns HTTP ""200"" with
And Medialive State API gateway /inputs get endpoint exists and will respond with HTTP 200
And MediaLive State API ""/channels"" ""PUT"" endpoint returns HTTP ""400"" with
And Medialive State API gateway /slates get endpoint exists and will respond with HTTP 200
When the message arrives from the input queue
Then an ispy event 'lsp-medialive-conductor.switch-input.received' is emitted with the received attributes
And an ispy event 'lsp-medialive-conductor.channel-update-failed' is emitted with the received attributes
And a failure notification is sent to the encoding output topic with error class ""CHANNEL_DB_UPDATE_FAILED"" and statement ""switchInputFailed""
And an ispy event 'lsp-medialive-conductor.channel-update-failed.notification' is emitted with the received attributes
And the message is sent to the fail queue

"
99,lsp-medialive-conductor SwitchInput but PUT channel fails with 5xx?,"Given a switch input message with inputName ""slate_name""
And MediaLive State API ""/channels"" ""GET"" endpoint returns HTTP ""200"" with
And MediaLive State API ""/livestreams"" ""GET"" endpoint returns HTTP ""200"" with
And Medialive State API gateway /inputs get endpoint exists and will respond with HTTP 200
And MediaLive State API ""/channels"" ""PUT"" endpoint returns HTTP ""500"" with
And Medialive State API gateway /slates get endpoint exists and will respond with HTTP 200
When the message arrives from the input queue
Then an ispy event 'lsp-medialive-conductor.switch-input.received' is emitted with the received attributes
And an ispy event 'lsp-medialive-conductor.channel-update-failed' is emitted with the received attributes
And a failure notification is sent to the encoding output topic with error class ""CHANNEL_DB_UPDATE_FAILED"" and statement ""switchInputFailed""
And an ispy event 'lsp-medialive-conductor.channel-update-failed.notification' is emitted with the received attributes

"
100,lsp-medialive-conductor Conductor receives a message with leg id to switch an input?,"Given a switch input message with inputName ""LiveRTMP_cvid"" and leg id
And MediaLive State API ""/channels"" ""GET"" endpoint returns HTTP ""200"" with
And MediaLive State API ""/livestreams"" ""GET"" endpoint returns HTTP ""200"" with
And Medialive State API gateway /inputs get endpoint exists and will respond with HTTP 200
And MediaLive State API ""/channels"" ""PUT"" endpoint returns HTTP ""200"" with
And Medialive State API gateway /slates get endpoint exists and will respond with HTTP 200
And Medialive describe channel endpoint exists and will respond with HTTP ""200""
And Medialive live input schedule update endpoint for ""liveRTMP_cvid"" exists and will respond with HTTP ""200""
When the message arrives from the input queue
Then an ispy event 'lsp-medialive-conductor.switch-input.received' is emitted with the received attributes
Then an ispy event 'lsp-medialive-conductor.switch-input.channel-inputs.retrieved' is emitted with the received attributes
Then an ispy event 'lsp-medialive-conductor.switch-input.target-input.updated' is emitted
And a 'GET' request is sent to the Medialive '/prod/channels/3887246' endpoint
And an ispy event 'lsp-medialive-conductor.switch-input.input-attachment-name.retrieved' is emitted with the received attributes
And a 'PUT' request is sent to the Medialive '/prod/channels/3887246/schedule' endpoint
And an ispy event 'lsp-medialive-conductor.switch-input.processed' is emitted

"
101,lsp-medialive-conductor Conductor receives a message to switch an input without a leg id in the request?,"Given a switch input message with inputName ""LiveRTMP_cvid""
And MediaLive State API ""/channels"" ""GET"" endpoint returns HTTP ""200"" with
And MediaLive State API ""/livestreams"" ""GET"" endpoint returns HTTP ""200"" with
And Medialive State API gateway /inputs get endpoint exists and will respond with HTTP 200
And MediaLive State API ""/channels"" ""PUT"" endpoint returns HTTP ""200"" with
And Medialive State API gateway /slates get endpoint exists and will respond with HTTP 200
And Medialive describe channel endpoint exists and will respond with HTTP ""200""
And Medialive live input schedule update endpoint for ""liveRTMP_cvid"" exists and will respond with HTTP ""200""
When the message arrives from the input queue
Then an ispy event 'lsp-medialive-conductor.switch-input.received' is emitted with the received attributes
Then an ispy event 'lsp-medialive-conductor.switch-input.channel-inputs.retrieved' is emitted with the received attributes
Then an ispy event 'lsp-medialive-conductor.switch-input.target-input.updated' is emitted
And a 'GET' request is sent to the Medialive '/prod/channels/3887246' endpoint
And an ispy event 'lsp-medialive-conductor.switch-input.input-attachment-name.retrieved' is emitted with the received attributes
And a 'PUT' request is sent to the Medialive '/prod/channels/3887246/schedule' endpoint
And an ispy event 'lsp-medialive-conductor.switch-input.processed' is emitted

"
102,lsp-medialive-conductor Conductor fails to process switch input message after retrieving multiple channel records and sends to fail queue?,"Given a switch input message with inputName ""LiveRTMP_cvid""
And MediaLive State API ""/channels"" ""GET"" endpoint returns HTTP ""200"" with
And MediaLive State API ""/livestreams"" ""GET"" endpoint returns HTTP ""200"" with
And Medialive State API gateway /inputs get endpoint exists and will respond with HTTP 200 for channel_arn
And Medialive State API gateway /inputs get endpoint exists and will respond with HTTP 200 for channel_arn
And MediaLive State API ""/channels"" ""PUT"" endpoint returns HTTP ""200"" with
And MediaLive State API ""/channels"" ""PUT"" endpoint returns HTTP ""200"" with
And Medialive State API gateway /slates get endpoint exists and will respond with HTTP 200
And Medialive describe channel endpoint exists and will respond with HTTP ""200"" for channel_arn ""arn:aws:medialive:eu-west-1:038610054328:channel:3887246""
And Medialive describe channel endpoint exists and will respond with HTTP ""200"" for channel_arn ""arn:aws:medialive:eu-west-1:038610054328:channel:3887247""
And Medialive live input schedule update endpoint for ""liveRTMP_cvid"" exists and will respond with HTTP ""200"" for channel_arn ""arn:aws:medialive:eu-west-1:038610054328:channel:3887246""
And Medialive live input schedule update endpoint for ""liveRTMP_cvid"" exists and will respond with HTTP ""200"" for channel_arn ""arn:aws:medialive:eu-west-1:038610054328:channel:3887247""
When the message arrives from the input queue
Then an ispy event 'lsp-medialive-conductor.switch-input.received' is emitted with the received attributes
Then an ispy event 'lsp-medialive-conductor.switch-input.channel-inputs.retrieved' is emitted with the received attributes
Then an ispy event 'lsp-medialive-conductor.switch-input.target-input.updated' is emitted
And a 'GET' request is sent to the Medialive '/channels/channelId' endpoint
And an ispy event 'lsp-medialive-conductor.switch-input.input-attachment-name.retrieved' is emitted with the received attributes
And a 'PUT' request is sent to the Medialive '/channels/channelId/schedule' endpoint
And an ispy event 'lsp-medialive-conductor.switch-input.processed' is emitted

"
